decade,avg_danceability,avg_energy,avg_happiness,total_tracks
1/10s,0.556,0.522,0.57,113782
1/20s,0.568,0.571,0.538,6713
1/30s,0.579,0.615,0.523,1954
1/40s,0.579,0.554,0.531,803
1/50s,0.547,0.593,0.526,954
1/60s,0.583,0.566,0.566,663
1/70s,0.566,0.553,0.531,504
1/80s,0.553,0.538,0.501,835
1/90s,0.535,0.527,0.518,578
10/0s,0.581,0.599,0.546,30599
11/0s,0.578,0.592,0.534,31735
12/0s,0.563,0.609,0.551,33488
1920s,0.624,0.237,0.526,1617
1930s,0.584,0.288,0.573,2436
1940s,0.465,0.249,0.434,3009
1950s,0.467,0.276,0.452,12277
1960s,0.482,0.364,0.516,16579
1970s,0.526,0.499,0.579,20196
1980s,0.569,0.557,0.591,23718
1990s,0.572,0.583,0.579,25090
2/10s,0.572,0.566,0.556,9301
2/20s,0.586,0.603,0.554,7581
2/30s,0.581,0.608,0.556,584
2/40s,0.575,0.597,0.552,641
2/50s,0.592,0.558,0.522,709
2/60s,0.589,0.659,0.599,613
2/70s,0.589,0.596,0.572,559
2/80s,0.592,0.606,0.538,590
2/90s,0.572,0.594,0.541,439
2000s,0.591,0.654,0.572,12733
2010s,0.603,0.654,0.553,3883
3/10s,0.584,0.575,0.551,11888
3/20s,0.586,0.619,0.548,8126
3/30s,0.588,0.61,0.562,2930
3/40s,0.591,0.592,0.564,883
3/50s,0.605,0.599,0.57,858
3/60s,0.578,0.591,0.546,676
3/70s,0.566,0.563,0.55,796
3/80s,0.582,0.623,0.532,675
3/90s,0.582,0.611,0.524,644
4/10s,0.584,0.579,0.56,10379
4/20s,0.595,0.623,0.555,7937
4/30s,0.594,0.592,0.558,1495
4/40s,0.611,0.61,0.582,705
4/50s,0.607,0.574,0.552,907
4/60s,0.599,0.61,0.569,660
4/70s,0.545,0.579,0.542,999
4/80s,0.591,0.586,0.566,824
4/90s,0.657,0.629,0.574,1154
5/10s,0.586,0.588,0.552,10531
5/20s,0.582,0.603,0.545,8305
5/30s,0.592,0.637,0.562,2023
5/40s,0.577,0.611,0.556,665
5/50s,0.586,0.594,0.55,788
5/60s,0.574,0.596,0.547,739
5/70s,0.567,0.57,0.528,622
5/80s,0.574,0.601,0.549,618
5/90s,0.585,0.609,0.566,614
6/10s,0.585,0.584,0.568,11835
6/20s,0.593,0.598,0.556,8301
6/30s,0.589,0.613,0.555,1766
6/40s,0.569,0.606,0.557,537
6/50s,0.602,0.588,0.585,716
6/60s,0.562,0.577,0.55,856
6/70s,0.594,0.595,0.535,736
6/80s,0.586,0.606,0.551,860
6/90s,0.597,0.631,0.591,699
7/10s,0.58,0.581,0.557,10958
7/20s,0.582,0.618,0.555,6935
7/30s,0.613,0.598,0.58,2038
7/40s,0.615,0.637,0.593,485
7/50s,0.6,0.579,0.593,780
7/60s,0.586,0.596,0.581,628
7/70s,0.563,0.592,0.519,768
7/80s,0.566,0.615,0.553,551
7/90s,0.597,0.622,0.572,579
8/10s,0.581,0.564,0.552,8648
8/20s,0.586,0.6,0.545,7215
8/30s,0.59,0.615,0.558,2113
8/40s,0.579,0.591,0.628,576
8/50s,0.569,0.628,0.581,856
8/60s,0.567,0.571,0.521,517
8/70s,0.596,0.577,0.551,604
8/80s,0.608,0.61,0.584,661
8/90s,0.601,0.647,0.557,447
9/10s,0.578,0.587,0.544,12009
9/20s,0.579,0.621,0.535,9755
9/30s,0.582,0.57,0.538,1383
9/40s,0.588,0.636,0.541,686
9/50s,0.558,0.605,0.514,635
9/60s,0.58,0.617,0.578,738
9/70s,0.568,0.584,0.53,794
9/80s,0.584,0.568,0.544,879
9/90s,0.597,0.602,0.549,834
