decade,avg_popularity,total_tracks
1/10s,26.5,113782
1/20s,33.1,6713
1/30s,28.9,1954
1/40s,28.3,803
1/50s,26.5,954
1/60s,31.6,663
1/70s,31.0,504
1/80s,29.5,835
1/90s,27.3,578
10/0s,35.5,30599
11/0s,35.2,31735
12/0s,25.6,33488
1920s,5.2,1617
1930s,8.6,2436
1940s,7.0,3009
1950s,10.1,12277
1960s,17.8,16579
1970s,24.3,20196
1980s,26.1,23718
1990s,28.7,25090
2/10s,32.3,9301
2/20s,35.9,7581
2/30s,33.9,584
2/40s,35.4,641
2/50s,40.3,709
2/60s,33.8,613
2/70s,33.9,559
2/80s,35.8,590
2/90s,37.0,439
2000s,36.3,12733
2010s,38.4,3883
3/10s,32.8,11888
3/20s,36.7,8126
3/30s,34.8,2930
3/40s,36.8,883
3/50s,35.3,858
3/60s,35.4,676
3/70s,34.0,796
3/80s,37.3,675
3/90s,38.6,644
4/10s,31.7,10379
4/20s,35.6,7937
4/30s,31.9,1495
4/40s,33.8,705
4/50s,35.3,907
4/60s,36.1,660
4/70s,34.5,999
4/80s,33.2,824
4/90s,24.6,1154
5/10s,34.1,10531
5/20s,34.8,8305
5/30s,35.5,2023
5/40s,37.1,665
5/50s,31.8,788
5/60s,33.3,739
5/70s,33.1,622
5/80s,36.1,618
5/90s,33.3,614
6/10s,33.1,11835
6/20s,35.6,8301
6/30s,35.6,1766
6/40s,35.3,537
6/50s,33.3,716
6/60s,33.5,856
6/70s,36.5,736
6/80s,38.7,860
6/90s,36.3,699
7/10s,31.8,10958
7/20s,35.2,6935
7/30s,34.1,2038
7/40s,33.6,485
7/50s,34.6,780
7/60s,32.1,628
7/70s,31.5,768
7/80s,32.3,551
7/90s,34.3,579
8/10s,32.2,8648
8/20s,37.6,7215
8/30s,38.0,2113
8/40s,29.3,576
8/50s,32.0,856
8/60s,35.1,517
8/70s,37.4,604
8/80s,34.6,661
8/90s,38.6,447
9/10s,32.5,12009
9/20s,37.6,9755
9/30s,36.0,1383
9/40s,40.7,686
9/50s,35.2,635
9/60s,33.9,738
9/70s,35.4,794
9/80s,35.4,879
9/90s,39.0,834
