decade,avg_duration_min
1/10s,3.85
1/20s,3.76
1/30s,3.92
1/40s,3.66
1/50s,3.52
1/60s,3.46
1/70s,3.77
1/80s,3.88
1/90s,3.95
10/0s,3.86
11/0s,3.83
12/0s,3.78
1920s,3.0
1930s,3.37
1940s,3.57
1950s,3.89
1960s,3.62
1970s,3.89
1980s,3.71
1990s,3.98
2/10s,3.75
2/20s,3.89
2/30s,3.96
2/40s,3.91
2/50s,3.88
2/60s,4.21
2/70s,3.71
2/80s,3.78
2/90s,3.71
2000s,4.09
2010s,3.98
3/10s,3.78
3/20s,3.91
3/30s,3.92
3/40s,3.72
3/50s,3.8
3/60s,3.74
3/70s,4.24
3/80s,3.89
3/90s,3.85
4/10s,3.74
4/20s,3.84
4/30s,3.91
4/40s,3.66
4/50s,3.59
4/60s,3.8
4/70s,4.63
4/80s,3.66
4/90s,3.58
5/10s,3.79
5/20s,3.91
5/30s,3.96
5/40s,3.78
5/50s,3.87
5/60s,3.82
5/70s,4.0
5/80s,3.91
5/90s,3.98
6/10s,3.74
6/20s,3.87
6/30s,3.94
6/40s,3.98
6/50s,3.71
6/60s,3.83
6/70s,3.91
6/80s,3.71
6/90s,3.96
7/10s,3.81
7/20s,4.06
7/30s,3.63
7/40s,4.07
7/50s,3.71
7/60s,3.79
7/70s,3.91
7/80s,3.89
7/90s,4.01
8/10s,3.82
8/20s,3.96
8/30s,3.95
8/40s,3.79
8/50s,3.73
8/60s,3.83
8/70s,3.73
8/80s,4.13
8/90s,3.77
9/10s,3.75
9/20s,3.95
9/30s,4.02
9/40s,3.88
9/50s,4.03
9/60s,3.79
9/70s,4.12
9/80s,3.99
9/90s,3.86
