name,artists,popularity,release_date,danceability,energy
Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",100,3/19/2021,0.68,0.7
drivers license,['Olivia Rodrigo'],99,1/8/2021,0.58,0.44
Astronaut In The Ocean,['Masked Wolf'],98,1/6/2021,0.78,0.69
Save Your Tears,['The Weeknd'],97,3/20/2020,0.68,0.83
telepatía,['Kali Uchis'],97,12/4/2020,0.65,0.52
Blinding Lights,['The Weeknd'],96,3/20/2020,0.51,0.73
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",96,3/5/2021,0.59,0.62
The Business,['Tiësto'],95,9/16/2020,0.8,0.62
Streets,['Doja Cat'],94,11/7/2019,0.75,0.46
Heartbreak Anniversary,['Giveon'],94,3/27/2020,0.45,0.47
WITHOUT YOU,['The Kid LAROI'],94,11/6/2020,0.66,0.41
Bandido,"['Myke Towers', 'Juhn']",94,12/10/2020,0.71,0.62
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",94,2/4/2021,0.85,0.7
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",94,1/15/2021,0.82,0.86
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",93,11/27/2020,0.86,0.62
Good Days,['SZA'],93,12/25/2020,0.44,0.66
Watermelon Sugar,['Harry Styles'],92,12/13/2019,0.55,0.82
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",92,10/30/2020,0.73,0.57
positions,['Ariana Grande'],92,10/30/2020,0.74,0.8
Hecha Pa' Mi,['Boza'],92,7/31/2020,0.72,0.76
